prompt,data_type,head,label,avg_window_entropy,min_window_entropy,max_window_entropy
ask_me_now,pitch,0,chick,4.724604683057074,4.706812873558196,4.735464749629468
ask_me_now,pitch,1,chick,4.361806502243415,4.323106088018233,4.4380271864470995
ask_me_now,pitch,2,chick,4.771881868205343,4.768468553014979,4.77698224864879
ask_me_now,pitch,3,chick,4.041614829610603,3.8964157125518226,4.102609572848646
ask_me_now,pitch,4,chick,4.182782027312926,3.9912586991965653,4.5235818266364625
ask_me_now,pitch,5,chick,4.406391853824117,4.348317988613777,4.588737985521216
ask_me_now,pitch,6,chick,4.196620014014048,4.011227081684487,4.280982988610894
ask_me_now,pitch,7,chick,4.678107521109715,4.652296345207907,4.716122097929509
ask_me_now,pitch,8,chick,4.556062262097379,4.484332621932026,4.631668262197216
ask_me_now,pitch,9,chick,3.8879027311072334,3.756949582948333,3.9744927402926664
ask_me_now,pitch,10,chick,4.741232715209608,4.7329310431152,4.7594193690294855
ask_me_now,pitch,11,chick,4.594477371818061,4.569014209097323,4.608887979410026
ask_me_now,pitch,12,chick,4.769754755337743,4.767037015015849,4.777193752215962
ask_me_now,pitch,13,chick,4.383337650298109,4.230679747725253,4.453962790973045
ask_me_now,pitch,14,chick,4.464701749965551,4.434010707190479,4.486849580670296
ask_me_now,pitch,15,chick,4.497341358274267,4.388546841618306,4.615848287951744
ask_me_now,dur,0,chick,4.721687134661211,4.707582879746805,4.738521513001462
ask_me_now,dur,1,chick,4.750812900484064,4.7403756214718396,4.772268187944917
ask_me_now,dur,2,chick,4.773018012526448,4.77028902440466,4.776716537320743
ask_me_now,dur,3,chick,4.107717209214852,3.9815602979186746,4.184646216196914
ask_me_now,dur,4,chick,4.471876531084803,4.400310209880356,4.576087393153254
ask_me_now,dur,5,chick,4.735884611606603,4.725328403209951,4.745929235055561
ask_me_now,dur,6,chick,4.466620748412949,4.357164434029602,4.5112613163900654
ask_me_now,dur,7,chick,4.608028960475499,4.551998972308598,4.6371460626975
ask_me_now,dur,8,chick,4.490203708608485,4.3884398253501615,4.542047082655224
ask_me_now,dur,9,chick,3.901805918548066,3.760539775839347,4.036798133573416
ask_me_now,dur,10,chick,4.74489588723632,4.732462936461792,4.770497121638989
ask_me_now,dur,11,chick,4.460261328567065,4.434702447406436,4.47826045122311
ask_me_now,dur,12,chick,4.747070460836361,4.73662186470261,4.777553036941638
ask_me_now,dur,13,chick,4.690285500015589,4.626688536641927,4.715663110530225
ask_me_now,dur,14,chick,4.650003015469003,4.628549744889406,4.7459262593538
ask_me_now,dur,15,chick,4.530653701937048,4.4676271496164475,4.641674951094089
ask_me_now,time,0,chick,4.265712533031308,4.157452420484642,4.371591789190329
ask_me_now,time,1,chick,4.640878344754518,4.591187278791463,4.657316534896144
ask_me_now,time,2,chick,4.742757572878811,4.730915855253864,4.7531349383512
ask_me_now,time,3,chick,4.707156533745988,4.685899444526169,4.723595919867379
ask_me_now,time,4,chick,4.604979045347089,4.509022526173886,4.700888204270757
ask_me_now,time,5,chick,4.648719145696641,4.622844924322084,4.704514928710417
ask_me_now,time,6,chick,4.297131023835458,4.149763339276562,4.367915670412053
ask_me_now,time,7,chick,4.531073282836466,4.441056668054934,4.59069373219852
ask_me_now,time,8,chick,4.5879893950656605,4.564912638362465,4.636384590712993
ask_me_now,time,9,chick,4.604661891657732,4.21982557080024,4.658501806701614
ask_me_now,time,10,chick,4.245321180215273,4.0556434185953725,4.376739273389983
ask_me_now,time,11,chick,4.542780846949214,4.492885613792359,4.568375683155065
ask_me_now,time,12,chick,4.721912014129232,4.685123112262928,4.735859383301556
ask_me_now,time,13,chick,4.603834606954162,4.536634612863536,4.635839696655827
ask_me_now,time,14,chick,4.657232445311237,4.615342132818987,4.729712822320759
ask_me_now,time,15,chick,4.291121699997744,4.185541928123241,4.491863295912337
blue_monk,pitch,0,chick,4.731174086692588,4.7022456544318265,4.742487881795684
blue_monk,pitch,1,chick,4.319046780787141,4.194918263798077,4.386821317144547
blue_monk,pitch,2,chick,4.7682899868041675,4.747273901057942,4.774115775054893
blue_monk,pitch,3,chick,4.074631171387152,3.9516869545868714,4.119730590740003
blue_monk,pitch,4,chick,4.267272257646135,3.6071264511362777,4.443642561587804
blue_monk,pitch,5,chick,4.423395232180597,4.381010833729198,4.495786926420863
blue_monk,pitch,6,chick,4.160744849548944,3.6927231791455557,4.311190112370747
blue_monk,pitch,7,chick,4.691448528273821,4.639621671423515,4.706294543437996
blue_monk,pitch,8,chick,4.4585641749965115,4.336493668847941,4.569445427330064
blue_monk,pitch,9,chick,4.047666651911504,3.9502912455128074,4.083431648056865
blue_monk,pitch,10,chick,4.741803628606897,4.7344228669743265,4.755700525342665
blue_monk,pitch,11,chick,4.538912122911818,4.462157123363585,4.571893979533396
blue_monk,pitch,12,chick,4.7681538013957026,4.750701243173042,4.771691233977527
blue_monk,pitch,13,chick,4.182687641923403,3.9319267449835564,4.261889884818124
blue_monk,pitch,14,chick,4.522708696943719,4.351733943668397,4.566531054069999
blue_monk,pitch,15,chick,4.450013627838168,4.308006155828995,4.5362655001907255
blue_monk,dur,0,chick,4.6909933949982845,4.63612381970416,4.725098322849352
blue_monk,dur,1,chick,4.737756205537172,4.730201179022557,4.746145646663456
blue_monk,dur,2,chick,4.7656169365575485,4.761320132798153,4.772977160755113
blue_monk,dur,3,chick,4.282332459543314,4.167418971720121,4.411029359694111
blue_monk,dur,4,chick,4.43482460308417,4.322245092689101,4.548820023157392
blue_monk,dur,5,chick,4.733470011606683,4.718037769066239,4.758769308036245
blue_monk,dur,6,chick,4.444130768586623,4.149388569265652,4.477205640865411
blue_monk,dur,7,chick,4.458048094264391,4.266299304090224,4.583977267843223
blue_monk,dur,8,chick,4.389109093277948,4.085506431008335,4.493544524811696
blue_monk,dur,9,chick,4.179276329970999,4.110575152497094,4.363058313067146
blue_monk,dur,10,chick,4.711710537752149,4.6659505139435025,4.749767447385401
blue_monk,dur,11,chick,4.298860659256177,4.079501102322002,4.372339791621409
blue_monk,dur,12,chick,4.7363437752124415,4.715274547194705,4.762174134395631
blue_monk,dur,13,chick,4.645014204273619,4.466718175096461,4.675120104434483
blue_monk,dur,14,chick,4.662402727026599,4.532781139862555,4.710300724537428
blue_monk,dur,15,chick,4.496375821733102,4.444457344017834,4.531757881272668
blue_monk,time,0,chick,4.287396753735761,4.246481661375254,4.364689734118756
blue_monk,time,1,chick,4.486979293216584,4.423268924945295,4.612255731312904
blue_monk,time,2,chick,4.723757333703661,4.6954363343822205,4.763943283881384
blue_monk,time,3,chick,4.642819641528984,4.490349288750889,4.727465833118688
blue_monk,time,4,chick,4.642963478919971,4.577576627654162,4.752420808353428
blue_monk,time,5,chick,4.580152568452265,4.44699272250541,4.6360033155961
blue_monk,time,6,chick,4.373993397242739,4.229441347479839,4.59268257568077
blue_monk,time,7,chick,4.514400224352046,4.349617462131754,4.591769078891017
blue_monk,time,8,chick,4.610204941806512,4.536119105940933,4.668270287777403
blue_monk,time,9,chick,4.568951950811676,4.118680789997834,4.594792077011996
